@relation housing_train_cleaned

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute sqfeet numeric
@attribute bedrooms numeric
@attribute bathrooms numeric
@attribute cats_allowed numeric
@attribute dogs_allowed numeric
@attribute smoking_allowed numeric
@attribute wheelchair_access numeric
@attribute electric_vehicle_charge numeric
@attribute comes_furnished numeric
@attribute laundry_options {'laundry on site','w/d hookups','w/d in unit',unknown,'laundry in bldg','no laundry on site'}
@attribute parking_options {'street parking','off-street parking',unknown,carport,'attached garage','detached garage','no parking','valet parking'}
@attribute demand {yes,no,unknown}

@data
1369,apartment,1416,3,2,1,1,1,1,0,0,'w/d hookups',unknown,yes
742,townhouse,975,2,1.5,1,1,1,0,0,0,'laundry on site',unknown,yes
745,townhouse,975,2,1.5,1,1,1,0,0,0,'laundry on site',unknown,yes
725,townhouse,975,2,1.5,1,1,1,0,0,0,'laundry on site',unknown,yes
780,apartment,583,0,1,0,0,1,0,0,0,unknown,unknown,yes
560,house,870,3,3,1,0,1,0,0,0,unknown,unknown,yes
1114,apartment,1360,2,2,1,1,0,0,0,0,unknown,'off-street parking',yes
500,house,695,3,2,0,0,1,0,0,0,unknown,unknown,yes
1150,apartment,1069,2,2,1,1,1,0,0,0,'w/d hookups',unknown,yes
1120,apartment,1100,2,2,1,1,1,0,0,0,'laundry on site','off-street parking',yes
860,apartment,806,1,1,1,1,1,0,0,0,'w/d hookups',unknown,yes
649,apartment,677,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
1155,apartment,1908,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1400,apartment,1456,3,2,1,1,1,0,0,0,'w/d in unit','street parking',yes
1180,apartment,1862,3,2,1,1,1,0,0,0,'laundry on site','street parking',yes
1075,apartment,1548,2,1.5,1,1,1,0,0,0,'laundry on site','street parking',yes
1376,apartment,1202,2,2,1,1,0,0,0,0,'w/d in unit','off-street parking',yes
999,apartment,230,0,1,1,1,1,0,0,1,'laundry in bldg','off-street parking',yes
850,apartment,851,1,1,1,1,1,0,0,0,'laundry on site','off-street parking',yes
895,apartment,230,0,1,1,1,1,0,0,1,'laundry in bldg','off-street parking',yes
1249,apartment,1094,2,2,1,1,1,0,0,0,'w/d hookups','off-street parking',yes
705,apartment,802,1,1,1,1,1,0,0,0,'laundry on site','street parking',yes
965,apartment,1350,2,2,1,1,1,0,0,0,'laundry on site','street parking',yes
