@relation housing_train_cleaned-weka.filters.unsupervised.attribute.Remove-R3-13-weka.filters.unsupervised.attribute.Remove-V-R1-3

@attribute rent numeric
@attribute type {apartment,house,manufactured,townhouse,condo,duplex,flat,cottage/cabin,in-law,loft,land}
@attribute demand {yes,no,unknown}

@data
855,apartment,yes
1151,apartment,yes
679,apartment,yes
1093,apartment,yes
1253,apartment,yes
1200,apartment,yes
858,apartment,yes
475,apartment,yes
1205,apartment,yes
900,house,yes
659,apartment,yes
855,apartment,yes
1135,apartment,yes
842,apartment,yes
899,apartment,yes
799,apartment,yes
1100,house,yes
915,apartment,yes
988,apartment,yes
1418,apartment,yes
1173,apartment,yes
1053,apartment,yes
1378,apartment,yes
1298,apartment,yes
610,apartment,yes
850,house,yes
895,apartment,yes
615,apartment,yes
991,apartment,yes
1215,apartment,yes
855,apartment,yes
925,apartment,yes
699,apartment,yes
925,apartment,yes
1029,apartment,yes
799,apartment,yes
855,apartment,yes
735,apartment,yes
763,apartment,yes
1550,house,yes
853,apartment,yes
1041,apartment,yes
1099,apartment,yes
739,apartment,yes
1209,apartment,yes
699,apartment,yes
689,apartment,yes
919,apartment,yes
1050,apartment,yes
1145,apartment,yes
779,apartment,yes
919,apartment,yes
725,condo,yes
859,apartment,yes
715,apartment,yes
907,apartment,yes
1239,apartment,yes
850,apartment,yes
1150,apartment,yes
664,apartment,yes
560,apartment,yes
749,apartment,yes
875,apartment,yes
639,apartment,yes
899,apartment,yes
739,apartment,yes
739,apartment,yes
1160,apartment,yes
968,apartment,yes
995,apartment,yes
610,apartment,yes
1313,apartment,yes
575,apartment,yes
799,apartment,yes
650,duplex,yes
1098,apartment,yes
968,apartment,yes
779,apartment,yes
1624,apartment,yes
659,apartment,yes
1100,condo,yes
800,house,yes
700,house,yes
475,apartment,yes
968,apartment,yes
1290,apartment,yes
950,apartment,yes
749,apartment,yes
949,apartment,yes
1050,apartment,yes
875,apartment,yes
674,apartment,yes
1057,apartment,yes
1013,apartment,yes
1155,apartment,yes
1750,house,yes
968,apartment,yes
838,apartment,yes
905,apartment,yes
1055,apartment,yes
949,apartment,yes
715,apartment,yes
500,apartment,yes
1215,apartment,yes
659,apartment,yes
803,apartment,yes
968,apartment,yes
1000,house,yes
799,apartment,yes
950,apartment,yes
1170,apartment,yes
700,apartment,yes
799,apartment,yes
529,house,yes
899,apartment,yes
700,apartment,yes
849,apartment,yes
1003,apartment,yes
555,apartment,yes
1528,apartment,yes
1005,apartment,yes
645,apartment,yes
1063,apartment,yes
1313,apartment,yes
1033,apartment,yes
739,apartment,yes
779,apartment,yes
855,apartment,yes
745,apartment,yes
1231,apartment,yes
895,apartment,yes
755,apartment,yes
799,apartment,yes
949,apartment,yes
993,apartment,yes
1005,apartment,yes
729,apartment,yes
770,apartment,yes
700,house,yes
799,apartment,yes
659,apartment,yes
779,apartment,yes
650,apartment,yes
650,apartment,yes
750,house,yes
1100,apartment,yes
700,apartment,yes
968,apartment,yes
1210,apartment,yes
1050,apartment,yes
779,apartment,yes
895,apartment,yes
1206,apartment,yes
853,apartment,yes
910,apartment,yes
1524,apartment,yes
584,house,yes
750,apartment,yes
960,apartment,yes
1100,apartment,yes
1029,apartment,yes
455,apartment,yes
1165,apartment,yes
1030,apartment,yes
752,apartment,yes
1020,apartment,yes
1139,apartment,yes
530,house,yes
847,apartment,yes
625,apartment,yes
875,apartment,yes
669,apartment,yes
630,house,yes
1495,apartment,yes
895,apartment,yes
680,apartment,yes
1030,apartment,yes
1485,apartment,yes
925,apartment,yes
977,apartment,yes
680,apartment,yes
779,apartment,yes
685,apartment,yes
1123,apartment,yes
899,apartment,yes
910,apartment,yes
734,apartment,yes
900,house,yes
560,house,yes
700,house,yes
759,apartment,yes
900,apartment,no
842,apartment,yes
989,apartment,yes
1325,townhouse,yes
719,apartment,yes
719,apartment,yes
1050,apartment,yes
949,apartment,yes
950,apartment,yes
750,apartment,yes
759,apartment,yes
963,apartment,yes
1100,condo,yes
947,apartment,yes
729,apartment,yes
799,apartment,yes
1073,apartment,yes
645,apartment,yes
1850,apartment,yes
799,apartment,yes
604,townhouse,yes
1022,apartment,yes
960,apartment,yes
595,apartment,yes
485,apartment,yes
995,townhouse,yes
686,apartment,yes
765,apartment,yes
684,apartment,yes
1150,apartment,yes
700,apartment,yes
980,apartment,yes
1239,apartment,yes
675,apartment,yes
1165,apartment,yes
800,apartment,yes
1057,apartment,yes
1775,flat,yes
1040,apartment,yes
750,apartment,yes
990,apartment,yes
1078,apartment,yes
1028,apartment,yes
900,apartment,yes
900,apartment,yes
1300,apartment,yes
1035,apartment,yes
850,apartment,yes
715,apartment,yes
790,apartment,yes
710,apartment,yes
948,apartment,yes
1086,apartment,yes
750,apartment,yes
960,apartment,yes
965,apartment,yes
2200,house,yes
1010,apartment,yes
1013,apartment,yes
950,apartment,yes
964,apartment,yes
1500,house,yes
1285,apartment,yes
965,apartment,yes
1550,apartment,yes
1255,apartment,yes
965,apartment,yes
1050,apartment,yes
1050,apartment,yes
1255,apartment,yes
1550,apartment,yes
1255,apartment,yes
1550,apartment,yes
1050,apartment,yes
550,house,yes
1166,apartment,yes
841,apartment,yes
1000,house,yes
700,apartment,yes
1600,townhouse,yes
1400,apartment,yes
1200,house,yes
1100,house,yes
1000,cottage/cabin,yes
1350,apartment,yes
935,apartment,yes
2275,apartment,yes
750,apartment,yes
919,apartment,yes
640,apartment,yes
710,apartment,yes
1406,apartment,yes
1255,apartment,yes
1190,apartment,yes
926,apartment,yes
1045,apartment,yes
820,apartment,yes
1479,apartment,yes
754,townhouse,yes
770,apartment,yes
630,apartment,yes
804,townhouse,yes
750,duplex,yes
755,apartment,yes
860,apartment,yes
760,apartment,yes
770,apartment,yes
1030,apartment,yes
830,apartment,yes
1312,apartment,yes
878,apartment,yes
800,apartment,yes
750,apartment,yes
720,apartment,yes
930,apartment,yes
720,apartment,yes
